attending_school,case_no,casetype,dcps_school_against,home_school
River Terrace EC,2018-00 18,Aga inst LEA,River Terrace EC,Thomas Elementary Schoo l
River Terrace EC,2018-00 18,Aga inst LEA,Bunker Hill Elementary Schoo l,Thomas Elementary Schoo l
Bunke r Hill Eleme ntary School,2018-0 019,Aga inst LEA,Bunker Hill Eleme ntary Schoo l,Bunker Hill Eleme nta ry School
Bunke r Hill Eleme ntary School,2018-0 019,Aga inst LEA,Bunker Hill Elementar y School,Bunker Hill Eleme nta ry School
Bunke r Hill Eleme ntary School,2018-0 019,Aga inst LEA,Aiton Elementary School,Bunker Hill Eleme nta ry School
Aiton Eleme ntary School,2018-0020,Aga inst LEA,Aiton Elementary School,Bunker Hill Eleme nta ry School
Aiton Eleme ntary School,2018-0020,Aga inst LEA,Langdon Elementary School,Bunker Hill Eleme nta ry School
Langdon Eleme ntary Schoo l,2018-0 021,Aga inst LEA,Langdon Elementary School,Langdon Elem entary School
Langdon Eleme ntary Schoo l,2018-0 021,Aga inst LEA,Krame r M idd le School,Langdon Elem entary School
Kramer M idd le School,2018-0022,Aga inst LEA,Kramer M idd le School,Kramer M idd le School
Kramer M idd le School,2018-0022,Aga inst LEA,Krame r M idd le School,Kramer M idd le School
Kramer M idd le School,2018-0022,Aga inst LEA,Monroe Schoo l,Kramer M idd le School
Kramer M idd le School,2018-0022,Aga inst LEA,Mo nroe School,Kramer M idd le School
Monroe,2018-0 024,Aga inst LEA,Mo nroe School,Kramer M idd le School
Monroe,2018-0 024,Aga inst LEA,Mo nroe Schoo l,Kramer M idd le School
Monroe,2018-0 024,Aga inst LEA,Miner Elemen tary,Kramer M idd le School
Monroe,2018-0 024,Aga inst LEA,Mine r Elementary,Kramer M idd le School
M iner Eleme ntary,2018--0023,Exped ited Discip line,Miner Elementary,Kramer M idd le School
M iner Eleme ntary,2018--0023,Exped ited Discip line,Miner Elemen tary,Kramer M idd le School
M iner Eleme ntary,2018--0023,Exped ited Discip line,LaSalle-Backus EC,Kramer M idd le School
Non-Attend,2018--0025,Aga inst LEA,LaSalle-Bac kus EC,Kramer M idd le School
Non-Attend,2018--0025,Aga inst LEA,LaSalle-Backus EC,Kramer M idd le School
Francis-Stevens Education Center,2018--0026,Aga inst LEA,Francis-StevensEd ucation Center,Ketcham Elementary School
Non -Attend,2018--0028,Exped ited Discip line,Francis-StevensEd ucation Center,Kingsma n
Non -Attend,2018--0028,Exped ited Discip line,Lab Schoo l of Washington,Kingsma n
Non -Attend,2018--0028,Exped ited Discip line,Lab School of Washington,Kingsma n
Lab School of Was hington,2018--0027,Aga inst LEA,Lab Schoo l of Washington,Wi lson Senio r High School
Lab School of Was hington,2018--0027,Aga inst LEA,Lab Schoo l of Wash ington,Wi lson Senio r High School
Lab School of Was hington,2018--0027,Aga inst LEA,H.D. Woodson Senior High School,Wi lson Senio r High School
Non-Attendi,2018--0030,Aga inst LEA,H.D. Woodson Senior High School,Wi lson Senio r High School
Non-Attendi,2018--0030,Aga inst LEA,Cardozo Educational Campus,Wi lson Senio r High School
Non-Attendi,2018--0030,Aga inst LEA,Cardozo Educational Cam pus,Wi lson Senio r High School
Non-Attendi,2018--0030,Expedit ed NON,Cardozo Educat ional Cam pus,Wi lson Senio r High School
Cardozo Educat ional Campus,2018--0029,Expedit ed NON,Cardozo Educat ional Cam pus,Wi lson Senio r High School
Cardozo Educat ional Campus,2018--0029,Discipline,Cardozo Educational Campus,Wi lson Senio r High School
Cardozo Educat ional Campus,2018--0029,Discipline,Cardozo Educational Cam pus,Wi lson Senio r High School
Monument Academy PCS,2018--0031,Aga inst LEA,Cardozo Educational Cam pus,Monument Academy PCS
Monument Academy PCS,2018--0031,Aga inst LEA,Moten Elementary Schoo l @ Wilkinson,Monument Academy PCS
Monument Academy PCS,2018--0031,Expedited NON,Moten Elementary Schoo l @ Wilkinson,Moten Eleme ntary School@
Moten Elementary School @ Wi lkinson,2018--0034,Expedited NON,Moten Elemen tary Schoo l @ Wilkinso n,Moten Eleme ntary School@
Moten Elementary School @ Wi lkinson,2018--0034,Discipline,Moten Elemen tary Schoo l @ Wilkinso n,Wilkins on
Moten Elementary School @ Wi lkinson,2018--0034,Discipline,Moten Elemen tary Schoo l @ Wilkins on,Wilkins on
Moten Elementary School @ Wi lkinson,2018--0034,Discipline,Ballou STAY,Wilkins on
Ballou STAY,2018--0033,Aga inst LEA,Ballou STAY,Dunbar High School
Johnson MS,2018--0032,Against LEA,Johnson MS,Johnson MS
Johnson MS,2018--0032,Against LEA,Wilson Senior High School,Johnson MS
Johnson MS,2018--0032,Against LEA,Wi lson Senior High School,Johnson MS
OTHER,2018-0036,Against LEA,Wi lson Senior High School,Wi lson Senior High Schoo l
OTHER,2018-0036,Against LEA,Wilson Senior High School,Wi lson Senior High Schoo l
OTHER,2018-0036,Against LEA,Other,Wi lson Senior High Schoo l
OTHER,2018--0035,Against LEA,Other,Wilson Senior High School
OTHER,2018--0035,Against LEA,Othe r,Wilson Senior High School
Cesar Chavez PCS,2018-0037,Against LEA,Othe r,Cesar Chavez PCS
Cesar Chavez PCS,2018-0037,Against LEA,Jefferson MS,Cesar Chavez PCS
Lab School of Washington,2018--0039,Against LEA,Jefferson MS,Jefferson MS
Lab School of Washington,2018--0039,Against LEA,Cardozo Educational Campus,Jefferson MS
Cardozo Educat iona l campus,2018--0038,Against LEA,Cardozo Educational Cam pus,Jefferson MS
Cardozo Educat iona l campus,2018--0038,Against LEA,Hardy MS@ Hamil ton School,Jefferson MS
Cardozo Educat iona l campus,2018--0038,Against LEA,Hardy MS@ Hamilto n School,Jefferson MS
Cardozo Educat iona l campus,2018--0038,Against LEA,Hardy M S @ Hamilto n School,Jefferson MS
Hardy MS @ Hamilto n School,2018-0040,Against LEA,Hardy MS@ Hamil ton School,Jefferson MS
Hardy MS @ Hamilto n School,2018-0040,Against LEA,Hardy MS@ Hamilto n School,Jefferson MS
Hardy MS @ Hamilto n School,2018-0040,Against LEA,Takoma Educational Center,Jefferson MS
Hardy MS @ Hamilto n School,2018-0040,Expedited NON,Takoma Educational,Jefferson MS
Tako ma Educat iona l Cente r,2018--0 41,Expedited NON,Takoma Educational,Takoma Educat iona l Center
Tako ma Educat iona l Cente r,2018--0 41,Discipline,Takoma Educational Center,Takoma Educat iona l Center
Tako ma Educat iona l Cente r,2018--0 41,Discipline,Takoma Educational,Takoma Educat iona l Center
Takoma Educat iona l Center,2018--0042,Against LEA,Takoma Educational,Takoma Educational Center
Takoma Educat iona l Center,2018--0042,Against LEA,Takoma Educational Center,Takoma Educational Center
Takoma Educat iona l Center,2018--0042,Against LEA,Kennedy Inst itu te,Takoma Educational Center
Non-Att end ing,2018--0044,Exped ited Discipline,Kennedy Inst itu te,Takoma Educational Center
E.L. Haynes PCS,2018-0043,Aga inst LEA,Kennedy Inst itu te,Takoma Educational Center
Kim ball Elementary,2018-0045,Aga inst LEA,Kimba ll Eleme ntary Schoo l,Kim ball Elementary School
Kim ball Elementary,2018-0045,Aga inst LEA,Housto n Elementary School,Kim ball Elementary School
Houston Eleme ntary School,2018-0047,Aga inst LEA,Housto n Element ary School,Houston Eleme ntary School
Houston Eleme ntary School,2018-0047,Aga inst LEA,Houston Elementary School,Houston Eleme ntary School
Houston Eleme ntary School,2018-0047,Aga inst LEA,Houston Elementary School,"ene,ps Arcm,ecwre ,"
"Phelps Arc hit ecture , Const ruction,",2018-0047,Aga inst LEA,"Phelps Arch itecture, Const ruc tion, and Eng ineeri ng HS","ene,ps Arcm,ecwre ,"
"Phelps Arc hit ecture , Const ruction,",2018-0046,Aga inst LEA,"Phelps Arch itecture, Const ruc tion, and Eng ineeri ng HS","Construction, and Engineering"
Engineeri ng HS,2018-0046,Aga inst LEA,"Phelps Arch itec ture , Construction, and Engineeri ng HS",18 H~
Engineeri ng HS,2018-0046,Aga inst LEA,"Phelps Arch itec ture , Construction, and Engineeri ng HS",DC Scholars Publ ic Chart er
DC Scholars Public Chart er Schoo l,2018-0049,Aga inst LEA,"Phelps Arch itec ture , Construction, and Engineeri ng HS",DC Scholars Publ ic Chart er
DC Scholars Public Chart er Schoo l,2018-0049,Aga inst LEA,"Phelps Arch itec ture , Construction, and Engineeri ng HS",School
DC Scholars Public Chart er Schoo l,2018-0049,Aga inst LEA,Eaton Elementary School,School
Eaton Eleme ntary School,2018-0051,Aga inst LEA,Eaton Elementar y Schoo l,M iner Elementar y
Eaton Eleme ntary School,2018-0051,Aga inst LEA,Eaton Elementary Schoo l,M iner Elementar y
Eaton Eleme ntary School,2018-0051,Aga inst LEA,Eastern High School,M iner Elementar y
Eaton Eleme ntary School,2018-0051,Aga inst LEA,Eastern High Schoo l,M iner Elementar y
Eastern High School,2018-0048,Exped ite d Discipline,Eastern High Schoo l,Eastern High Schoo l
Eastern High School,2018-0048,Exped ite d Discipline,Eastern High School,Eastern High Schoo l
Rand le-Highlands ES,·• ~• 2018-0050,"••e •-· --- •-'""",Randl e-High lands ES,Randle-Highlands ES
Rand le-Highlands ES,·• ~• 2018-0050,"••e •-· --- •-'""",Jeff erson MS,Randle-Highlands ES
Jefferson,2018-0054,Aga inst LEA,Jeff erson MS,Randle-Highlands ES
Jefferson,2018-0054,Aga inst LEA,Jefferson MS,Randle-Highlands ES
Jefferson,2018-0054,Aga inst LEA,Simon Elementa ry Schoo l,Randle-Highlands ES
Jefferson,2018-0054,Aga inst LEA,Simon Eleme ntary School,Randle-Highlands ES
Jefferson,2018-0054,Expedit ed NON,Simon Eleme ntary School,Randle-Highlands ES
Simon Elementary Schoo l,2018-0052,Expedit ed NON,Simon Eleme ntary Schoo l,Simon Elemen tary Schoo l
Simon Elementary Schoo l,2018-0052,Discipline,Simon Eleme ntary Schoo l,Simon Elemen tary Schoo l
Simon Elementary Schoo l,2018-0052,Discipline,Simon Elementa ry Schoo l,Simon Elemen tary Schoo l
Simon Elementary Schoo l,2018-0052,Discipline,Simon Eleme nta ry School,Simon Elemen tary Schoo l
Simon Elementary Schoo l,2018-0052,Discipline,Simon Eleme ntary School,Simon Elemen tary Schoo l
Simon Elementary Schoo l,2018-0052,Discipline,Dunba r High Schoo l,Simon Elemen tary Schoo l
Simon Elementary Schoo l,2018-0052,Discipline,Dunbar High Schoo l,Simon Elemen tary Schoo l
Dunbar High School,2018-0055,Aga inst LEA,Dunbar High Schoo l,Dunbar High School
Dunbar High School,2018-0055,Aga inst LEA,Dunbar High School,Dunbar High School
Dunbar High School,2018-0055,Aga inst LEA,Dunba r High School,Dunbar High School
Dunbar High School,2018-0055,Aga inst LEA,Cardozo Educati onal Cam pus,Dunbar High School
Dunbar High School,2018-0055,Aga inst LEA,Cardozo Educational Campus,Dunbar High School
Dunbar High School,2018-0055,Aga inst LEA,Cardozo Educational Cam pus,Dunbar High School
Dunbar High School,2018-0055,Aga inst LEA,Cardozo Educat ional Cam pus,Dunbar High School
Cardozo Educat iona l Campus,2018-0053,Aga inst LEA,Cardozo Educational Campus,Ballou Senior High Schoo l
Cardozo Educat iona l Campus,2018-0053,Aga inst LEA,Cardozo Educational Cam pus,Ballou Senior High Schoo l
Cardozo Educat iona l Campus,2018-0053,Aga inst LEA,Cardozo Educat ional Cam pus,Ballou Senior High Schoo l
Kingsbury Day Schoo l,2018--0057,By LEA,Cardozo Educational Cam pus,Ballou Senior High Schoo l
Kingsbury Day Schoo l,2018--0057,By LEA,Anaco st ia Senior High School,Ballou Senior High Schoo l
Anaco stia Senior High School,2018--0056,Aga inst LEA,Anaco st ia Senior High School,Anacost ia Senior High Schoo l
Anaco stia Senior High School,2018--0056,Aga inst LEA,Anacost ia Senior High Schoo l,Anacost ia Senior High Schoo l
Anaco stia Senior High School,2018--0056,Aga inst LEA,Anacost ia Sen ior High School,Anacost ia Senior High Schoo l
Anaco stia Senior High School,2018--0056,Aga inst LEA,Stanton Elementary School,Anacost ia Senior High Schoo l
Stanto n Elementa ry School,2018--0058,Aga inst LEA,Stanton Elementary School,Stanton Elementa ry School
Stanto n Elementa ry School,2018--0058,Aga inst LEA,Stanto n Elementary School,Stanton Elementa ry School
Stanto n Elementa ry School,2018--0058,Aga inst LEA,Eastern High School,Stanton Elementa ry School
Eastern High Schoo l,2018-0059,Expedited Discip line,Eastern High School,Eastern High Schoo l
Eastern High Schoo l,2018-0059,Expedited Discip line,Eastern High Schoo l,Eastern High Schoo l
Eastern High Schoo l,2018-0059,Expedited Discip line,Garr ison ES,Eastern High Schoo l
Eastern High Schoo l,2018-0059,Expedited Discip line,Garrison ES,Eastern High Schoo l
Eastern High Schoo l,2018-0059,Expedited Discip line,Garri son ES,Eastern High Schoo l
Garrison ES,2018-0060,Aga inst LEA,Garri son ES,Oyster Adam s Bili ngual
Garrison ES,2018-0060,Aga inst LEA,Garrison ES,Oyster Adam s Bili ngual
Garrison ES,2018-0060,Aga inst LEA,Garr ison ES,Oyster Adam s Bili ngual
Beers Elementar y School,2018--0061,Aga inst LEA,Beers Elementary School,Beers Elementary School
Lab Schoo l of Was hington,2018-0062,Aga inst LEA,Beers Elementary School,Two Rivers PCS
Lab Schoo l of Was hington,2018-0062,Aga inst LEA,Francis-Stevens Educa tion Center,Two Rivers PCS
Lab Schoo l of Was hington,2018-0062,Aga inst LEA,Francis-Stevens Education Center,Two Rivers PCS
Lab Schoo l of Was hington,2018-0062,Aga inst LEA,Francis-StevensE ducation Center,Two Rivers PCS
lvymount,2018-0063,Aga inst LEA,Francis-StevensE ducation Center,Key Eleme ntary School
lvymount,2018-0063,Aga inst LEA,Francis-Stevens Education Center,Key Eleme ntary School
lvymount,2018-0063,Aga inst LEA,Wa lker-Jones/Tu rner EC,Key Eleme ntary School
Walke r-Jones/T urne r EC,2018-0064,Aga inst LEA,Wa lker-Jones/Tu rner EC,Walker-Jones/ Turne r EC
Walke r-Jones/T urne r EC,2018-0064,Aga inst LEA,Wa lker-Jones/T urner EC,Walker-Jones/ Turne r EC
Walke r-Jones/T urne r EC,2018-0064,Aga inst LEA,Wa lker-Jones/Tur ner EC,Walker-Jones/ Turne r EC
Walke r-Jones/T urne r EC,2018-0064,Aga inst LEA,Cleve land Elementary School,Walker-Jones/ Turne r EC
Walke r-Jones/T urne r EC,2018-0064,03/ 07/2018,Cleve land Elementary School,Walker-Jones/ Turne r EC
Clevelan d Elementary,2018-0065,03/ 07/2018,Cleve land Elementary School,Kimball Eleme ntary School
Clevelan d Elementary,2018-0065,03/ 07/2018,Hearst Eleme nta ry School,Kimball Eleme ntary School
Clevelan d Elementary,2018-0065,03/ 07/2018,Hearst Eleme ntary School,Kimball Eleme ntary School
Clevelan d Elementary,2018-0065,03/ 07/2018,Hearst Eleme ntary School,Columb ia Heigh ts Educat ion
Lab School of Was hington,2018-0066,03/ 07/2018,Hearst Eleme nta ry School,Columb ia Heigh ts Educat ion
Lab School of Was hington,2018-0066,03/ 07/2018,Hearst Eleme nta ry School,Center High School
Lab School of Was hington,2018-0066,03/ 07/2018,Hearst Eleme ntary School,Center High School
Lab School of Was hington,2018-0066,03/ 12/2018,Hearst Eleme ntary School,Center High School
Monument Academy,2018-0068,03/ 12/2018,Hearst Eleme ntary School,Center High School
Monument Academy,2018-0068,03/ 12/2018,Hardy MS@ Hamil t on School,Center High School
Hardy MS@ Hamilton School,2018-0069,03/ 12/2018,Hardy MS@ Hamil t on School,Deal M iddle Schoo l
Monument Academy PCS,2018-0067,03/ 12/2018,Hardy MS@ Hamil t on School,Deal M iddle Schoo l
Monument Academy PCS,2018-0067,03/ 12/2018,River Terrace EC,Deal M iddle Schoo l
River Terrac e EC,2018-0070,03/ 12/2018,River Terrace EC,Jefferson MS
River Terrac e EC,2018-0070,03/ 12/2018,Stuart-Hobson M iddle School,Jefferson MS
River Terrac e EC,2018-0070,03/ 12/2018,Stuart -Hobson M iddle School,Jefferson MS
River Terrac e EC,2018-0070,03/13/2018,Stuart -Hobson M iddle School,Jefferson MS
Stuart -Hobson M iddle Schoo l,2018-0071,03/13/2018,Stuart -Hobson M iddle School,Hart M iddle Schoo l
Stuart -Hobson M iddle Schoo l,2018-0071,03/13/2018,Stuart -Hobson M iddle Schoo l,Hart M iddle Schoo l
Stuart -Hobson M iddle Schoo l,2018-0071,03/13/2018,Stuart-Hobson M iddle Schoo l,Hart M iddle Schoo l
Cesar Chavez PCS,2018-0072,03/13/2018,Stuart -Hobson M iddle Schoo l,Cesar Chavez PCS
Cesar Chavez PCS,2018-0072,03/ 14/2018,Stuart -Hobson M iddle Schoo l,Cesar Chavez PCS
Cesar Chavez PCS,2018-0072,03/ 14/2018,Eastern High School,Cesar Chavez PCS
Eastern High Schoo l,2018-0073,03/ 14/2018,Eastern High School,Cesar Chavez PCS
Eastern High Schoo l,2018-0073,03/ 14/2018,Easte rn High School,Cesar Chavez PCS
Eastern High Schoo l,2018-0074,03/ 14/2018,Eastern High School,Eastern High Schoo l
Eastern High Schoo l,2018-0074,03/ 14/2018,Am idon Elementary School,Eastern High Schoo l
Eastern High Schoo l,2018-0074,03/ 14/2018,Am idon Elementary,Eastern High Schoo l
Amidon Eleme nta ry School,2018-0075,Against LEA,Am idon Elementary,Amidon Elementary School
Amidon Eleme nta ry School,2018-0075,Against LEA,Lab School of Wash ington,Amidon Elementary School
Lab School of Washington,2018-0076,Against LEA,Lab School of Wash ington,Wilson Senior High School
Lab School of Washington,2018-0076,Against LEA,River Terrace EC,Wilson Senior High School
River Terrace EC,2018-0077,Against LEA,River Terrace EC,Jefferson MS
River Terrace EC,2018-0077,Against LEA,Mine r Elemen tary,Jefferson MS
River Terrace EC,2018-0077,Against LEA,Mine r Elementary,Jefferson MS
Mi ner Elementary,2018-0078,Against LEA,Mine r Elementary,M iner Elementary
Mi ner Elementary,2018-0078,Against LEA,Mine r Elementa ry,M iner Elementary
Mi ner Elementary,2018-0078,Against LEA,Mine r Elemen tary,M iner Elementary
Bruce Monroe ES@ Park View,2018-0079,Against LEA,Bruce Mon roe ES@ Park View,Bruce M on roe ES @ Park View
Bruce Monroe ES@ Park View,2018-0079,Against LEA,Hardy MS@ Hamil ton School,Bruce M on roe ES @ Park View
Hardy M S@ Hamilton School,2018-0080,Against LEA,Hardy MS@ Hamil ton School,Hardy MS@ Hamilton School
Hardy M S@ Hamilton School,2018-0080,Against LEA,Hardy M S @ Hamil t on School,Hardy MS@ Hamilton School
Merid ian PCS,2018-0081,"'""""'"" - "" "" 'r""""",Hardy M S @ Hamil t on School,Hardy MS@ Hamilton School
Merid ian PCS,2018-0081,"0, C A",Hardy M S @ Hamil t on School,Hardy MS@ Hamilton School
Hardy M S@ Hamilton School,2018-0083,"0, C A",Hardy MS@ Hamil t on School,Hardy MS@ Hamilton School
Hardy M S@ Hamilton School,2018-0083,"0, C A",Whea t ley EC,Hardy MS@ Hamilton School
Wheat ley EC,2018-0082,Against LEA,Whea t ley EC,Wheat ley EC
Wheat ley EC,2018-0082,Against LEA,Non-Attending,Wheat ley EC
Non-Att end ing,2018-0084,Against LEA,Non-Attending,Ballou Senio r High Schoo l
Non-Att end ing,2018-0084,Against LEA,Non-Attendin,Ballou Senio r High Schoo l
Non-Att end ing,2018-0084,Against LEA,McLean School,Ballou Senio r High Schoo l
M cle an School,2018-0085,Against LEA,McLean School,Deal M iddle School
M cle an School,2018-0085,Against LEA,Jefferson MS,Deal M iddle School
M cle an School,2018-0085,Against LEA,Jeff erson MS,Deal M iddle School
M cle an School,2018-0085,Against LEA,Jeff erson M S,Deal M iddle School
Jefferson M S,2018-0086,Against LEA,Jeff erson M S,Kelly M ille r MS
Jefferson M S,2018-0086,Against LEA,Jefferson MS,Kelly M ille r MS
Jefferson M S,2018-0086,Against LEA,Jeff erson MS,Kelly M ille r MS
Jefferson M S,2018-0086,"___- ~""",Jefferson MS,Kelly M ille r MS
